Date,Rainfall
2022-08-23,6.2
2022-08-24,8.2
2022-08-25,10.2
2022-08-26,10.0
2022-08-27,6.8
2022-08-28,7.1
2022-08-29,12.1
2022-08-30,9.4
2022-08-31,5.8
2022-09-01,6.1
2022-09-02,9.6
2022-09-03,6.9
2022-09-04,7.4
2022-09-05,7.2
2022-09-06,4.3
2022-09-07,7.6
2022-09-08,12.6
2022-09-09,11.1
2022-09-10,10.9
2022-09-11,9.6
2022-09-12,8.6
2022-09-13,6.4
2022-09-14,3.5
2022-09-15,9.9
2022-09-16,10.0
2022-09-17,9.5
2022-09-18,9.1
2022-09-19,9.0
2022-09-20,7.0
2022-09-21,11.6
2022-09-22,9.4
2022-09-23,13.3
2022-09-24,10.9
2022-09-25,5.3
2022-09-26,11.5
2022-09-27,11.2
2022-09-28,12.7
2022-09-29,11.0
2022-09-30,8.8
2022-10-01,6.9
2022-10-02,7.2
2022-10-03,7.0
2022-10-04,9.5
2022-10-05,10.5
2022-10-06,11.6
2022-10-07,14.4
2022-10-08,9.6
2022-10-09,7.1
2022-10-10,5.3
2022-10-11,8.4
2022-10-12,11.4
2022-10-13,15.4
2022-10-14,10.3
2022-10-15,10.0
2022-10-16,11.4
2022-10-17,6.2
2022-10-18,6.8
2022-10-19,7.8
2022-10-20,9.6
2022-10-21,13.2
2022-10-22,16.1
2022-10-23,13.9
2022-10-24,13.2
2022-10-25,15.6
2022-10-26,15.4
2022-10-27,14.7
2022-10-28,11.1
2022-10-29,10.0
2022-10-30,8.5
2022-10-31,12.2
2022-11-01,8.5
2022-11-02,6.9
2022-11-03,9.1
2022-11-04,10.2
2022-11-05,11.8
2022-11-06,11.6
2022-11-07,13.9
2022-11-08,14.6
2022-11-09,15.6
2022-11-10,19.8
2022-11-11,18.7
2022-11-12,14.2
2022-11-13,15.4
2022-11-14,13.0
2022-11-15,8.0
2022-11-16,7.2
2022-11-17,9.6
2022-11-18,7.2
2022-11-19,12.5
2022-11-20,11.8
2022-11-21,9.4
2022-11-22,8.7
2022-11-23,11.6
2022-11-24,12.4
2022-11-25,11.6
2022-11-26,10.9
2022-11-27,14.7
2022-11-28,9.7
2022-11-29,12.2
2022-11-30,11.6
2022-12-01,12.1
2022-12-02,9.4
2022-12-03,13.6
2022-12-04,17.3
2022-12-05,16.2
2022-12-06,13.4
2022-12-07,13.1
2022-12-08,9.4
2022-12-09,9.9
2022-12-10,8.1
2022-12-11,14.0
2022-12-12,11.5
2022-12-13,11.6
2022-12-14,9.0
2022-12-15,11.1
2022-12-16,10.8
2022-12-17,10.9
2022-12-18,11.7
2022-12-19,9.8
2022-12-20,10.2
2022-12-21,12.9
2022-12-22,16.8
2022-12-23,15.7
2022-12-24,16.7
2022-12-25,12.9
2022-12-26,17.0
2022-12-27,17.7
2022-12-28,25.0
2022-12-29,14.0
2022-12-30,12.6
2022-12-31,17.9
