ACCIDENT_NO,SURFACE_COND,SURFACE_COND_DESC,SURFACE_COND_SEQ
T20220026264,1,Dry,1
T20220026278,1,Dry,0
T20220026233,2,Wet,1
T20220026590,3,Muddy,1
T20220026327,2,Wet,0
T20230002494,1,Dry,0
T20220026283,2,Wet,1
T20220026228,2,Wet,1
T20220026227,1,Dry,1
T20220029586,1,Dry,0
T20220026271,2,Wet,1
T20220026273,1,Dry,1
T20220026276,1,Dry,0
T20220026277,2,Wet,1
T20220026322,9,Unk.,0
T20220026313,2,Wet,0
T20220026302,1,Dry,0
T20220026294,1,Dry,1
T20220026585,1,Dry,1
T20220026288,2,Wet,0
T20220026287,2,Wet,1
T20220028733,9,Unk.,0
T20220026248,1,Dry,1
T20220029269,1,Dry,0
T20220026251,2,Wet,0
T20220026252,1,Dry,0
T20220026253,1,Dry,0
T20220026265,1,Dry,0
T20220026257,1,Dry,1
T20220026221,2,Wet,1
T20220026217,2,Wet,1
T20220026285,2,Wet,1
T20220026259,1,Dry,1
T20220026260,1,Dry,1
T20220026369,2,Wet,1
T20220026373,1,Dry,0
T20220026377,2,Wet,0
T20220026851,2,Wet,0
T20220026818,2,Wet,0
T20230006432,2,Wet,1
T20220026415,2,Wet,0
T20220026368,1,Dry,0
T20220026389,2,Wet,0
T20220026393,5,Icy,1
T20220026398,1,Dry,0
T20220026399,2,Wet,0
T20220026310,1,Dry,1
T20220026400,2,Wet,1
T20220026402,1,Dry,1
T20220026309,1,Dry,0
T20220027595,2,Wet,1
T20220026308,1,Dry,1
T20220026437,1,Dry,0
T20220026318,2,Wet,0
T20220026335,2,Wet,0
T20220026304,1,Dry,0
T20220026742,9,Unk.,1
T20220026301,1,Dry,0
T20220026344,1,Dry,0
T20220026539,1,Dry,0
T20230000411,9,Unk.,0
T20220027089,2,Wet,0
T20220026350,1,Dry,1
T20230013254,1,Dry,0
T20220026385,2,Wet,0
T20220026317,2,Wet,0
T20230016693,2,Wet,0
T20220026353,2,Wet,1
T20220026355,5,Icy,2
T20220026358,2,Wet,0
T20220026605,9,Unk.,0
T20220026300,1,Dry,1
T20220026363,1,Dry,0
T20220026364,2,Wet,1
T20220026330,2,Wet,1
T20220026366,1,Dry,0
T20230002001,1,Dry,1
T20220026408,1,Dry,0
T20220026549,1,Dry,0
T20220026416,2,Wet,1
T20220026418,1,Dry,0
T20220026422,1,Dry,0
T20220026489,1,Dry,1
T20220026484,1,Dry,1
T20230000741,1,Dry,0
T20220026482,1,Dry,0
T20220026532,2,Wet,0
T20220026516,2,Wet,0
T20220026481,1,Dry,1
T20220026496,1,Dry,1
T20220026480,1,Dry,0
T20220026477,1,Dry,0
T20220026476,1,Dry,1
T20220026474,1,Dry,1
T20220026495,1,Dry,1
T20220027284,2,Wet,1
T20220026473,1,Dry,1
T20220026472,1,Dry,1
T20230005152,1,Dry,0
T20220026494,1,Dry,1
T20220026467,2,Wet,0
T20220026465,1,Dry,0
T20220026460,1,Dry,1
T20220026991,1,Dry,1
T20220026456,1,Dry,0
T20220026454,1,Dry,1
T20220026447,1,Dry,0
T20220026626,1,Dry,1
T20220026708,2,Wet,0
T20220026429,1,Dry,1
T20220026492,2,Wet,1
T20220026444,1,Dry,1
T20220029127,1,Dry,0
T20220026491,1,Dry,0
T20230004473,9,Unk.,0
T20220026490,1,Dry,1
T20220026433,1,Dry,0
T20220026404,1,Dry,1
T20220026443,1,Dry,1
T20220026413,1,Dry,0
T20220026497,2,Wet,1
T20220026508,1,Dry,0
T20220026520,1,Dry,0
T20220026521,1,Dry,1
T20220026524,1,Dry,1
T20220026528,1,Dry,0
T20220026536,1,Dry,1
T20220026537,1,Dry,0
T20220026541,1,Dry,1
T20220026543,1,Dry,0
T20220026544,1,Dry,0
T20220027006,1,Dry,0
T20220026545,1,Dry,1
T20220026550,1,Dry,1
T20220026551,1,Dry,0
T20220026554,1,Dry,1
T20220026560,1,Dry,1
T20220027084,1,Dry,0
T20220026563,2,Wet,1
T20220026564,1,Dry,1
T20220027593,2,Wet,0
T20220026890,1,Dry,1
T20220026565,1,Dry,1
T20220026573,2,Wet,1
T20220026574,2,Wet,0
T20220027283,1,Dry,0
T20220026579,2,Wet,0
T20220026588,1,Dry,0
T20220026592,1,Dry,1
T20220026604,1,Dry,0
T20220026704,1,Dry,0
T20220028453,9,Unk.,0
T20220029081,9,Unk.,1
T20220026768,1,Dry,1
T20230005729,1,Dry,0
T20230008131,2,Wet,0
T20220026651,1,Dry,1
T20220026649,1,Dry,0
T20230010732,9,Unk.,0
T20220026656,1,Dry,0
T20220026658,1,Dry,0
T20220026661,1,Dry,0
T20220026662,1,Dry,0
T20220026610,1,Dry,1
T20220026600,1,Dry,0
T20220028098,1,Dry,0
T20220026668,1,Dry,1
T20220026619,1,Dry,1
T20220026804,1,Dry,0
T20220026613,1,Dry,1
T20220028020,1,Dry,1
T20220026586,1,Dry,1
T20220026593,1,Dry,1
T20220026917,1,Dry,1
T20220026682,1,Dry,0
T20220026627,1,Dry,1
T20220026628,1,Dry,0
T20220026632,1,Dry,1
T20220026633,1,Dry,0
T20220027325,1,Dry,1
T20220026634,1,Dry,1
T20220026635,1,Dry,1
T20220026636,1,Dry,0
T20220027751,9,Unk.,1
T20220027044,9,Unk.,0
T20220026639,1,Dry,0
T20220028109,1,Dry,1
T20220026640,1,Dry,0
T20220026641,1,Dry,0
T20220027405,1,Dry,1
T20220027904,9,Unk.,0
T20220028230,1,Dry,0
T20220026720,1,Dry,0
T20220028245,1,Dry,1
T20220028263,1,Dry,0
T20230000913,1,Dry,0
T20220026642,1,Dry,0
T20220026583,1,Dry,1
T20220026622,1,Dry,0
T20220026606,1,Dry,1
T20220026643,1,Dry,0
T20220026644,1,Dry,0
T20220026647,1,Dry,0
T20220026749,1,Dry,1
T20220026697,1,Dry,1
T20220026779,1,Dry,1
T20230000718,9,Unk.,1
T20220026781,1,Dry,1
T20220026766,1,Dry,1
T20220027393,1,Dry,0
T20230012847,1,Dry,0
T20220026687,1,Dry,0
T20220026685,1,Dry,1
T20220027761,1,Dry,1
T20220026738,1,Dry,1
T20220027661,1,Dry,0
T20220027620,1,Dry,0
T20220026681,1,Dry,1
T20220026680,1,Dry,0
T20220028551,1,Dry,0
T20220027192,9,Unk.,0
T20220027598,1,Dry,0
T20220026735,1,Dry,1
T20220026734,1,Dry,1
T20220026733,1,Dry,0
T20220026731,1,Dry,1
T20220026760,1,Dry,0
T20220026729,1,Dry,0
T20220026727,1,Dry,1
T20220026725,1,Dry,1
T20220026724,1,Dry,0
T20220027203,1,Dry,0
T20220026739,1,Dry,1
T20220026741,1,Dry,1
T20220026744,1,Dry,1
T20220026745,1,Dry,0
T20220026750,1,Dry,0
T20220027138,1,Dry,1
T20220026754,1,Dry,1
T20220026676,1,Dry,0
T20220026674,1,Dry,1
T20220026672,2,Wet,0
T20220028441,1,Dry,0
T20220028456,9,Unk.,0
T20220029507,9,Unk.,0
T20220026894,2,Wet,1
T20220026700,1,Dry,1
T20220026723,1,Dry,0
T20220026721,1,Dry,0
T20220026719,1,Dry,1
T20220026718,1,Dry,1
T20220026717,1,Dry,0
T20220026710,1,Dry,0
T20220027382,1,Dry,0
T20220026703,1,Dry,1
T20220026777,1,Dry,0
T20220026778,1,Dry,0
T20220026780,1,Dry,0
T20220026783,3,Muddy,2
T20220026785,1,Dry,0
T20220026787,1,Dry,1
T20220026793,1,Dry,1
T20220026796,1,Dry,1
T20220026800,2,Wet,0
T20220026805,1,Dry,0
T20220026806,1,Dry,0
T20220026807,1,Dry,0
T20220026809,1,Dry,1
T20220026810,1,Dry,1
T20220026814,1,Dry,1
T20220026815,1,Dry,1
T20220026765,1,Dry,1
T20220026774,1,Dry,0
T20220026825,1,Dry,1
T20220026826,1,Dry,0
T20220028194,1,Dry,1
T20220026753,1,Dry,1
T20220026757,1,Dry,1
T20230001149,3,Muddy,1
T20230002897,1,Dry,0
T20220027819,1,Dry,1
T20230005607,1,Dry,1
T20220028629,9,Unk.,0
T20220027600,2,Wet,0
T20220026856,1,Dry,1
T20220028283,1,Dry,1
T20220026764,1,Dry,0
T20220026763,1,Dry,1
T20230004176,1,Dry,1
T20220026816,1,Dry,1
T20220026821,1,Dry,0
T20220026829,1,Dry,1
T20220026830,1,Dry,0
T20220026833,1,Dry,1
T20220026838,1,Dry,1
T20220026840,1,Dry,0
T20220026841,1,Dry,1
T20220026848,1,Dry,0
T20220026849,1,Dry,0
T20220026855,1,Dry,1
T20220027871,9,Unk.,1
T20220026882,1,Dry,0
T20220026932,1,Dry,0
T20220026925,1,Dry,1
T20220027306,1,Dry,0
T20230000827,1,Dry,0
T20220028336,9,Unk.,1
T20220027573,1,Dry,1
T20220027120,1,Dry,0
T20230015960,1,Dry,0
T20220026889,1,Dry,1
T20220026886,1,Dry,1
T20220026881,1,Dry,0
T20220026879,2,Wet,1
T20220026876,1,Dry,0
T20220026872,2,Wet,0
T20220026870,1,Dry,1
T20220026864,1,Dry,1
T20220026861,1,Dry,1
T20220026860,1,Dry,1
T20220026858,1,Dry,1
T20220028081,9,Unk.,1
T20220026922,1,Dry,0
T20220026935,1,Dry,1
T20220027116,1,Dry,0
T20220027173,1,Dry,1
T20220026920,1,Dry,1
T20220026936,1,Dry,1
T20220026939,1,Dry,1
T20220026942,1,Dry,1
T20220026961,1,Dry,1
T20220026946,1,Dry,0
T20220027137,1,Dry,1
T20220027070,1,Dry,1
T20220026948,9,Unk.,1
T20220026897,1,Dry,1
T20220026964,2,Wet,1
T20220026950,1,Dry,0
T20220026951,1,Dry,0
T20220026985,1,Dry,1
T20220027606,1,Dry,1
T20220026923,1,Dry,1
T20220028155,1,Dry,1
T20220026988,1,Dry,1
T20220026958,1,Dry,0
T20220026956,1,Dry,0
T20220026916,1,Dry,0
T20220027097,9,Unk.,0
T20220026929,1,Dry,1
T20220026933,1,Dry,0
T20220026955,1,Dry,1
T20220027001,1,Dry,0
T20220026910,1,Dry,0
T20220026904,1,Dry,1
T20220027303,9,Unk.,1
T20220027885,9,Unk.,0
T20220027248,1,Dry,0
T20230007953,9,Unk.,0
T20230003187,1,Dry,0
T20220027560,1,Dry,0
T20220027093,1,Dry,0
T20220027443,9,Unk.,1
T20220027504,1,Dry,0
T20220027977,5,Icy,0
T20220027734,9,Unk.,1
T20220027753,1,Dry,1
T20220027105,1,Dry,0
T20220029482,1,Dry,1
T20220026968,1,Dry,0
T20220026972,2,Wet,0
T20220026976,1,Dry,1
T20220027347,9,Unk.,0
T20230000126,1,Dry,0
T20220026982,1,Dry,0
T20220026993,1,Dry,0
T20220026997,1,Dry,0
T20220027008,1,Dry,1
T20220027009,1,Dry,0
T20220027013,1,Dry,0
T20220027016,1,Dry,0
T20220027019,1,Dry,0
T20220027027,1,Dry,0
T20230000252,1,Dry,0
T20220027126,1,Dry,0
T20220027127,1,Dry,0
T20220027031,1,Dry,1
T20220027807,9,Unk.,1
T20220027033,1,Dry,0
T20220027036,1,Dry,0
T20220027037,1,Dry,0
T20220027038,1,Dry,0
T20220027040,1,Dry,1
T20220027041,1,Dry,1
T20220027042,1,Dry,0
T20220027047,1,Dry,1
T20220027050,1,Dry,1
T20220027051,1,Dry,0
T20220027056,1,Dry,1
T20220027059,1,Dry,1
T20220027061,1,Dry,0
T20220027062,1,Dry,1
T20220027067,1,Dry,1
T20220027133,1,Dry,1
T20220027071,1,Dry,0
T20220027228,1,Dry,0
T20220027090,1,Dry,1
T20220027094,1,Dry,1
T20220027095,1,Dry,0
T20220027099,1,Dry,1
T20220027101,1,Dry,0
T20220027102,1,Dry,0
T20220027109,1,Dry,0
T20220027223,1,Dry,0
T20220028611,9,Unk.,1
T20220027112,1,Dry,1
T20220027113,1,Dry,1
T20220027119,1,Dry,1
T20220027128,1,Dry,0
T20220027135,1,Dry,0
T20220027139,1,Dry,1
T20220027141,1,Dry,1
T20220027585,9,Unk.,0
T20220029797,1,Dry,1
T20220027069,1,Dry,1
T20220027072,1,Dry,1
T20220027073,1,Dry,1
T20220028634,1,Dry,0
T20220027678,1,Dry,1
T20220027145,1,Dry,1
T20220027147,1,Dry,1
T20220027151,1,Dry,1
T20220027153,1,Dry,0
T20220027154,1,Dry,0
T20220027158,1,Dry,0
T20220027159,1,Dry,1
T20220027160,1,Dry,1
T20220027162,1,Dry,1
T20220027166,1,Dry,0
T20220027168,1,Dry,1
T20220027170,1,Dry,1
T20230030781,1,Dry,0
T20220028045,1,Dry,0
T20230008301,9,Unk.,1
T20220027309,1,Dry,0
T20220029665,1,Dry,1
T20220027195,1,Dry,1
T20220027251,1,Dry,1
T20220027255,1,Dry,1
T20220027256,1,Dry,0
T20220027263,1,Dry,1
T20220027264,1,Dry,1
T20220027266,1,Dry,1
T20220027268,1,Dry,1
T20220027207,1,Dry,0
T20220027208,1,Dry,1
T20220027269,1,Dry,1
T20220027210,1,Dry,0
T20220027212,1,Dry,1
T20220027220,1,Dry,0
T20220027270,1,Dry,1
T20220027221,1,Dry,0
T20220027222,1,Dry,0
T20220027224,1,Dry,1
T20220027176,1,Dry,1
T20220027688,9,Unk.,0
T20220027232,1,Dry,1
T20220027233,1,Dry,0
T20220027175,1,Dry,0
T20220027277,9,Unk.,1
T20220027236,1,Dry,0
T20220027182,1,Dry,0
T20220027189,1,Dry,0
T20220027239,1,Dry,1
T20220029178,9,Unk.,0
T20230000476,1,Dry,1
T20220027557,1,Dry,0
T20220028857,1,Dry,0
T20230000649,1,Dry,0
T20220028585,1,Dry,0
T20220027250,1,Dry,0
T20220027179,1,Dry,0
T20220027706,1,Dry,1
T20220028182,1,Dry,1
T20220027260,1,Dry,0
T20220027323,1,Dry,0
T20220027194,1,Dry,0
T20220027559,1,Dry,1
T20220027197,1,Dry,1
T20220027198,1,Dry,1
T20220027204,1,Dry,0
T20220027205,1,Dry,1
T20220027206,1,Dry,1
T20230000128,1,Dry,0
T20220028205,1,Dry,1
T20220028226,1,Dry,1
T20220028231,9,Unk.,0
T20220027397,1,Dry,1
T20220027286,1,Dry,0
T20220027287,1,Dry,0
T20220027288,1,Dry,0
T20220027289,1,Dry,1
T20220027294,1,Dry,1
T20220027298,1,Dry,0
T20220027312,1,Dry,0
T20220027313,1,Dry,1
T20220028294,9,Unk.,0
T20220027317,1,Dry,1
T20220027388,1,Dry,1
T20220027324,1,Dry,1
T20220027327,1,Dry,0
T20220027329,1,Dry,1
T20220027330,1,Dry,1
T20220027331,1,Dry,0
T20220027334,1,Dry,1
T20220027339,1,Dry,1
T20220027340,1,Dry,1
T20220027344,1,Dry,0
T20220027352,1,Dry,0
T20220027356,1,Dry,1
T20220027359,1,Dry,0
T20220027318,1,Dry,0
T20220027437,1,Dry,0
T20230009985,1,Dry,1
T20220027380,1,Dry,0
T20230002417,1,Dry,0
T20220027378,1,Dry,1
T20220027373,1,Dry,1
T20220027369,1,Dry,0
T20220027368,1,Dry,0
T20220027363,1,Dry,1
T20220027958,9,Unk.,1
T20220027974,1,Dry,1
T20230003040,9,Unk.,0
T20220027445,1,Dry,0
T20220027689,1,Dry,1
T20220027472,1,Dry,1
T20220027371,1,Dry,1
T20220027370,1,Dry,1
T20220027416,1,Dry,0
T20220028388,9,Unk.,1
T20220027483,1,Dry,1
T20220027412,1,Dry,1
T20220027586,1,Dry,1
T20230003569,1,Dry,0
T20220027769,1,Dry,0
T20220027766,1,Dry,0
T20220027420,1,Dry,1
T20220027477,1,Dry,1
T20220027469,1,Dry,1
T20220027417,1,Dry,1
T20220027427,1,Dry,1
T20220027419,1,Dry,1
T20220027466,1,Dry,1
T20220027740,1,Dry,1
T20220027410,1,Dry,1
T20220027716,1,Dry,1
T20220027966,1,Dry,1
T20220027436,1,Dry,1
T20220027406,1,Dry,1
T20220027404,1,Dry,1
T20220027489,1,Dry,1
T20220027428,1,Dry,0
T20220027400,1,Dry,1
T20220028237,1,Dry,1
T20220027399,1,Dry,1
T20220027398,1,Dry,1
T20220027430,1,Dry,0
T20220027391,1,Dry,0
T20220027561,1,Dry,1
T20220027568,1,Dry,0
T20230006364,1,Dry,1
T20230013614,1,Dry,0
T20220027390,1,Dry,1
T20220027385,1,Dry,1
T20220029692,1,Dry,1
T20220027384,1,Dry,0
T20220027464,1,Dry,1
T20230001713,1,Dry,0
T20220027461,1,Dry,0
T20220027460,1,Dry,1
T20220027442,1,Dry,0
T20220028843,1,Dry,1
T20220027444,1,Dry,0
T20220027459,1,Dry,1
T20220027446,1,Dry,1
T20220027452,1,Dry,1
T20220027453,1,Dry,0
T20220027455,1,Dry,1
T20230010931,1,Dry,0
T20220027596,1,Dry,0
T20230023076,1,Dry,0
T20220027471,1,Dry,1
T20220027554,1,Dry,1
T20220028071,1,Dry,0
T20220027743,9,Unk.,1
T20220027857,1,Dry,0
T20220027470,1,Dry,0
T20220027495,1,Dry,1
T20220027580,1,Dry,0
T20220028620,1,Dry,1
T20220027607,1,Dry,1
T20220027482,1,Dry,1
T20220027652,1,Dry,1
T20230006122,1,Dry,0
T20220027555,1,Dry,0
T20220027480,1,Dry,1
T20220027475,1,Dry,0
T20220027564,1,Dry,1
T20220027535,1,Dry,1
T20220027536,1,Dry,0
T20220027635,1,Dry,1
T20220027537,1,Dry,0
T20220027928,1,Dry,0
T20220027563,1,Dry,1
T20220027505,1,Dry,1
T20220027507,1,Dry,1
T20220027508,1,Dry,1
T20220027511,1,Dry,0
T20220027487,1,Dry,1
T20220027488,1,Dry,1
T20220027534,1,Dry,1
T20220027539,1,Dry,1
T20220027491,1,Dry,1
T20220027540,1,Dry,1
T20220027541,1,Dry,1
T20220027545,1,Dry,0
T20220027492,1,Dry,1
T20220027494,1,Dry,0
T20230007470,1,Dry,0
T20220027512,1,Dry,1
T20220027513,1,Dry,1
T20220027468,1,Dry,0
T20220027497,1,Dry,0
T20220027515,1,Dry,1
T20220028139,1,Dry,0
T20220027519,1,Dry,1
T20220027522,1,Dry,1
T20220027484,1,Dry,1
T20230001737,1,Dry,1
T20220028163,1,Dry,1
T20220027498,1,Dry,0
T20230001177,9,Unk.,1
T20220027499,1,Dry,1
T20220027479,1,Dry,1
T20220027501,2,Wet,1
T20220027502,1,Dry,1
T20220027524,1,Dry,0
T20220027530,1,Dry,1
T20220027503,1,Dry,0
T20220027523,1,Dry,1
T20220027835,1,Dry,1
T20220027655,9,Unk.,0
T20220027651,1,Dry,0
T20220027650,1,Dry,0
T20220027649,1,Dry,1
T20220027647,1,Dry,0
T20220027641,1,Dry,0
T20220027640,1,Dry,0
T20220027639,1,Dry,1
T20220027637,1,Dry,1
T20220027636,1,Dry,1
T20220027633,1,Dry,1
T20220027583,1,Dry,1
T20220027946,1,Dry,0
T20220027630,1,Dry,0
T20220027627,1,Dry,0
T20220027624,1,Dry,0
T20220027582,1,Dry,0
T20220027623,1,Dry,1
T20220027619,1,Dry,0
T20220027613,1,Dry,1
T20220027621,1,Dry,0
T20240000853,1,Dry,0
T20220027550,1,Dry,0
T20220027611,1,Dry,1
T20220027608,1,Dry,0
T20220027667,1,Dry,1
T20220027565,1,Dry,1
T20220027569,1,Dry,1
T20220027574,1,Dry,1
T20220027578,1,Dry,1
T20220027579,9,Unk.,0
T20220027581,1,Dry,0
T20220027908,9,Unk.,0
T20220027605,1,Dry,0
T20220027603,1,Dry,1
T20230014817,1,Dry,0
T20220027601,1,Dry,1
T20220029354,1,Dry,0
T20220027562,1,Dry,1
T20220027599,1,Dry,1
T20220027594,1,Dry,1
T20220027590,1,Dry,1
T20220027588,1,Dry,1
T20220027831,2,Wet,1
T20220027694,1,Dry,1
T20220027872,1,Dry,0
T20220027710,1,Dry,1
T20220027711,1,Dry,1
T20220027714,1,Dry,1
T20220027671,9,Unk.,0
T20220027723,1,Dry,0
T20220027726,1,Dry,0
T20220027727,1,Dry,1
T20220028282,1,Dry,1
T20220027729,1,Dry,1
T20220027730,1,Dry,0
T20220027733,1,Dry,1
T20220027932,1,Dry,0
T20220027735,1,Dry,0
T20220027675,1,Dry,1
T20220027847,1,Dry,0
T20220027821,1,Dry,1
T20220027837,1,Dry,0
T20220027682,1,Dry,0
T20220027686,1,Dry,1
T20230005200,1,Dry,1
T20220027798,1,Dry,1
T20220027687,1,Dry,1
T20220027656,2,Wet,1
T20220027669,1,Dry,1
T20220029747,1,Dry,1
T20220029455,1,Dry,0
T20230000270,9,Unk.,1
T20220027677,2,Wet,1
T20220027690,1,Dry,0
T20220028154,1,Dry,0
T20220027693,2,Wet,1
T20220027670,1,Dry,0
T20220027695,1,Dry,1
T20220027696,1,Dry,1
T20220027698,1,Dry,0
T20220027701,1,Dry,0
T20220027702,1,Dry,1
T20220027705,1,Dry,0
T20220027953,2,Wet,1
T20220027752,1,Dry,0
T20220027754,1,Dry,0
T20220027755,1,Dry,0
